ID,samples,LF,Ba,Nb,Zr,Sr,Rb,Pb,Zn,Fe,Mn,Cr,Ti,Ca,Al,P,Si,Mg,V
45,Source2,36.5,328.33,11.04,263.66,320.02,69.29,13.96,51.46,21083.68,308.69,59.41,3400.29,131513.97,38311.48,1178.21,201309.83,2974.85,64.91
46,Source2,14.1,296.1,11.42,177.47,463.04,76.74,16.05,51.09,21897.34,335.9,49.24,3215.93,163389.33,41518.33,1052.77,175933.27,3815.25,62.84
47,Source2,8.1,307.6,11.57,234.95,657.52,59.62,15.05,53.37,19172.21,399.41,37.14,3334.71,165938.98,33480.89,1089.73,184076.17,3460.51,50.03
48,Source3,12.3,334.64,9.45,103.89,564.57,84.29,12.28,62.56,22395.37,311.65,76.04,2846.77,180921.34,42648.77,685.63,159293.94,5601.95,84.5
49,Source3,9.7,342.86,10.51,189.42,638.38,66.5,11.15,47.42,20085.63,337.13,65.23,2826.56,190624.52,38262.93,796.21,157725.47,4399.24,67.84
50,Source3,8.2,362.02,9.77,140.41,740.26,72.99,10.59,49.29,20530.12,302.69,57.88,2670.57,189627.45,37546.95,685.58,156789.14,5281.22,54.71
51,Source3,19.9,301.75,9.71,147.37,309.82,70.27,13.54,45.43,21238.1,245.71,75.98,2883.53,190891,37334.29,678.19,158439.05,3609.35,75.14
52,Source3,9.6,326.06,10.85,99.83,872.8,102.41,12.21,69.25,24646.63,245.28,87.16,3059.85,165321.86,47436.2,781.96,160953.61,7528.09,92.33
53,Source3,8.8,477.41,11.44,124.46,706.09,100.8,12.83,74.62,27306.08,186.92,70.43,3283.18,159911.58,50854.34,802.5,166108.55,4187.51,103.71
54,Source3,8.5,354.48,10.94,121.26,848.91,112.57,12.63,76.5,28107.92,195.27,82.35,3171.41,141656.59,53129.76,784.32,171687.95,7344.98,105.43
55,Source3,8.3,426.74,11.11,88.16,471.47,120.22,15.14,71.94,27871.72,220.68,70.67,3124.55,159801.47,51770.36,640.03,161044.98,6675.35,92.83
56,Source3,14.5,397.96,10.4,171.97,452.36,79.88,19.71,54.22,22733.04,321.39,64.76,2940.18,170551.47,43814.79,800.58,167278.19,5685.19,68.23
57,Source3,19.7,329.79,10.16,222.65,563.68,72.58,18.19,48.76,20038.12,271.07,56.77,3060.06,164885.64,39257.88,860.77,178267.36,3412.53,54.15
58,Source3,4.5,355.97,10.58,219.95,501.04,64.68,12.12,52.81,19375.81,233.43,58.07,2844.87,183707.58,36344.28,823.59,170984.55,3771.77,53.85
59,Source3,7.4,389.66,10.11,189.28,425.67,78.95,10.8,49.7,21909.64,219.94,52.77,3006.62,164465.25,40816.94,819.96,173261.36,4261.04,73.66
60,Mixture,6.6,273.83,9.40,185.66,1239.79,72.43,12.08,54.04,19534.44,256.61,65.51,2753.99,186789.67,33339.04,1005.10,142091.72,4194.71,64.94
